0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Class,Pass_No,iter_No
2.421536133,2.436505371,2.443796631,2.441500488,2.437633301,2.435578857,2.441911377,2.421729492,2.439325195,2.442249756,2.442862061,2.432904053,2.439510498,2.440904297,2.442741211,2.418095947,3_Bumps,1,1
2.421439453,2.436440918,2.443812744,2.441468262,2.437665527,2.435562744,2.441911377,2.421987305,2.439325195,2.442281982,2.442862061,2.433097412,2.439494385,2.44087207,2.442741211,2.418112061,3_Bumps,1,1
2.421366943,2.436344238,2.443828857,2.441460205,2.437705811,2.435562744,2.441911377,2.422245117,2.439349365,2.442314209,2.442862061,2.433322998,2.439478271,2.440839844,2.442741211,2.418095947,3_Bumps,1,1
2.421286377,2.436255615,2.443844971,2.441436035,2.437705811,2.435562744,2.441943604,2.422519043,2.439381592,2.442346436,2.442862061,2.433564697,2.439478271,2.440807617,2.442741211,2.418104004,3_Bumps,1,1
2.42125415,2.436183105,2.443861084,2.441403809,2.43772998,2.435586914,2.44197583,2.422776855,2.439397705,2.442378662,2.442862061,2.433806396,2.439470215,2.440807617,2.442757324,2.418104004,3_Bumps,1,1
2.421173584,2.436126709,2.443861084,2.441363525,2.43777832,2.435603027,2.442,2.423034668,2.439381592,2.442410889,2.442862061,2.434048096,2.439470215,2.440775391,2.442757324,2.418071777,3_Bumps,1,1
2.421125244,2.436062256,2.443861084,2.441363525,2.43777832,2.435594971,2.44202417,2.42329248,2.439413818,2.442475342,2.442862061,2.434257568,2.439462158,2.440743164,2.442757324,2.418039551,3_Bumps,1,1
2.421044678,2.436013916,2.443861084,2.441291016,2.437810547,2.435594971,2.44202417,2.42353418,2.439446045,2.442507568,2.442870117,2.434450928,2.439462158,2.440710938,2.442773438,2.418168457,3_Bumps,1,1
2.420964111,2.435949463,2.443869141,2.441202393,2.437834717,2.435594971,2.442056396,2.423791992,2.439421875,2.442539795,2.442870117,2.43470874,2.439462158,2.440678711,2.442773438,2.418265137,3_Bumps,1,1
2.420867432,2.43588501,2.443877197,2.441137939,2.437875,2.435594971,2.442080566,2.424049805,2.439454102,2.442572021,2.44288623,2.434950439,2.439437988,2.440654541,2.442773438,2.418249023,3_Bumps,1,1
2.420786865,2.435804443,2.443877197,2.44106543,2.437907227,2.435594971,2.442112793,2.424307617,2.439486328,2.442644531,2.44288623,2.435103516,2.439421875,2.440622314,2.442805664,2.418200684,3_Bumps,1,1
2.439421875,2.445504639,2.444151123,2.443885254,2.439687744,2.442999023,2.442902344,2.42977002,2.43883374,2.436344238,2.443135986,2.419666992,2.438519531,2.436344238,2.442572021,2.393337891,3_Bumps,0,2
2.439421875,2.445552979,2.444143066,2.443893311,2.439687744,2.442999023,2.442902344,2.429737793,2.438817627,2.436312012,2.443135986,2.419634766,2.438535645,2.436352295,2.442604248,2.393708496,3_Bumps,0,2
2.439421875,2.445585205,2.444126953,2.443901367,2.439687744,2.442999023,2.442902344,2.429705566,2.438801514,2.436279785,2.443135986,2.419634766,2.438535645,2.436368408,2.442652588,2.394079102,3_Bumps,0,2
2.439389648,2.445585205,2.444143066,2.443869141,2.439687744,2.442999023,2.44293457,2.42967334,2.438817627,2.436263672,2.443135986,2.419650879,2.438551758,2.436368408,2.442692871,2.394385254,3_Bumps,0,2
2.439389648,2.445552979,2.44413501,2.443804688,2.439703857,2.442999023,2.44293457,2.429625,2.438801514,2.436231445,2.443135986,2.419626709,2.438567871,2.436400635,2.442733154,2.394739746,3_Bumps,0,2
2.439373535,2.445536865,2.444126953,2.443764404,2.439703857,2.442999023,2.442966797,2.429592773,2.438817627,2.436215332,2.443135986,2.419658936,2.438567871,2.436416748,2.442781494,2.395094238,3_Bumps,0,2
2.439373535,2.445536865,2.444126953,2.443716064,2.439703857,2.442999023,2.44300708,2.429544434,2.43883374,2.436207275,2.443135986,2.419691162,2.438567871,2.436424805,2.442821777,2.395440674,3_Bumps,0,2
2.439373535,2.445561035,2.444094727,2.443659668,2.439703857,2.44298291,2.44300708,2.429463867,2.438817627,2.436175049,2.443135986,2.419691162,2.438583984,2.436440918,2.442862061,2.395762939,3_Bumps,0,2
2.439357422,2.445585205,2.444094727,2.443571045,2.439703857,2.44298291,2.44300708,2.429399414,2.438801514,2.436166992,2.443119873,2.419723389,2.438583984,2.436473145,2.44288623,2.396117432,3_Bumps,0,2
2.439341309,2.445601318,2.444126953,2.443482422,2.439703857,2.44298291,2.44300708,2.429318848,2.438817627,2.436166992,2.443119873,2.419755615,2.438600098,2.436481201,2.442894287,2.396463867,3_Bumps,0,2
2.439325195,2.445649658,2.444126953,2.443401855,2.439703857,2.44298291,2.44300708,2.429246338,2.43883374,2.436175049,2.443119873,2.419787842,2.438616211,2.436497314,2.442902344,2.396866699,3_Bumps,0,2
2.439309082,2.445625488,2.444070557,2.443281006,2.439719971,2.442966797,2.44300708,2.429165771,2.43883374,2.436183105,2.443119873,2.419820068,2.438632324,2.436529541,2.442902344,2.397237305,3_Bumps,0,2
2.439292969,2.445577148,2.4440625,2.443216553,2.439784424,2.442942627,2.44300708,2.429117432,2.438849854,2.436199219,2.443119873,2.419852295,2.438648438,2.436561768,2.442902344,2.397575684,3_Bumps,0,2
2.439292969,2.445536865,2.444054443,2.443135986,2.439784424,2.442942627,2.44300708,2.429117432,2.43888208,2.436191162,2.443119873,2.419884521,2.438664551,2.436593994,2.442902344,2.397906006,3_Bumps,0,2
2.438414795,2.440227539,2.444126953,2.440759277,2.437552734,2.426845459,2.441983887,2.416766602,2.439631348,2.443409912,2.442773438,2.439736084,2.439220459,2.439292969,2.443466309,2.422486816,6_Bumps,0,1
2.438455078,2.440388672,2.444126953,2.440799561,2.437617188,2.427361084,2.442008057,2.416847168,2.439615234,2.443450195,2.442773438,2.439736084,2.439220459,2.439292969,2.443490479,2.422575439,6_Bumps,0,1
2.438503418,2.440541748,2.44418335,2.440864014,2.437705811,2.427844482,2.442008057,2.416911621,2.439615234,2.443490479,2.442773438,2.439736084,2.439204346,2.439292969,2.443490479,2.422639893,6_Bumps,0,1
2.438535645,2.440694824,2.444239746,2.440864014,2.43775415,2.428343994,2.442032227,2.416959961,2.439615234,2.443538818,2.442773438,2.439703857,2.439204346,2.439292969,2.443498535,2.422704346,6_Bumps,0,1
2.438583984,2.4408479,2.444296143,2.44092041,2.437818604,2.428859619,2.442064453,2.417008301,2.439615234,2.443579102,2.442773438,2.439687744,2.439188232,2.439292969,2.443498535,2.422752686,6_Bumps,0,1
2.438648438,2.441033203,2.444320313,2.440960693,2.437883057,2.429375244,2.44209668,2.417072754,2.439599121,2.443611328,2.442773438,2.439687744,2.439172119,2.439292969,2.443498535,2.422801025,6_Bumps,0,1
2.438688721,2.441186279,2.444344482,2.440984863,2.43794751,2.429858643,2.44212085,2.41715332,2.439599121,2.443611328,2.442773438,2.439647461,2.439172119,2.439292969,2.443498535,2.422849365,6_Bumps,0,1
2.438696777,2.441299072,2.444416992,2.441025146,2.43799585,2.430309814,2.442153076,2.417217773,2.439599121,2.443611328,2.442773438,2.439583008,2.439188232,2.439292969,2.443522705,2.422897705,6_Bumps,0,1
2.43876123,2.441444092,2.444473389,2.441025146,2.438044189,2.43072876,2.442153076,2.41729834,2.439599121,2.443611328,2.442773438,2.439542725,2.439188232,2.439292969,2.443522705,2.422946045,6_Bumps,0,1
2.438825684,2.441540771,2.444505615,2.441081543,2.438108643,2.431115479,2.442185303,2.417362793,2.439599121,2.443611328,2.442773438,2.439478271,2.439172119,2.439292969,2.443538818,2.423010498,6_Bumps,0,1
2.438890137,2.441709961,2.444497559,2.441081543,2.438173096,2.431469971,2.442217529,2.417443359,2.439599121,2.443611328,2.442773438,2.439429932,2.439172119,2.439292969,2.443538818,2.423058838,6_Bumps,0,1
